symbol,R1,R2,R3,S1,S2,S3
360ONE,1133.7575,1139.615,1145.4725,1122.0425,1116.185,1110.3275
3MINDIA,34821.04167,34892.08333,34963.125,34678.95833,34607.91667,34536.875
AADHARHFC,481.9,482.45,483,480.8,480.25,479.7
AARTIIND,370.0395833,370.4291667,370.81875,369.2604167,368.8708333,368.48125
AAVAS,1485.565,1489.03,1492.495,1478.635,1475.17,1471.705
ABB,5180.475,5188.45,5196.425,5164.525,5156.55,5148.575
ABBOTINDIA,28888.5,28927,28965.5,28811.5,28773,28734.5
ACC,1818.490833,1821.781667,1825.0725,1811.909167,1808.618333,1805.3275
ACMESOLAR,219.7148333,220.1896667,220.6645,218.7651667,218.2903333,217.8155
ACE,978.09375,979.5375,980.98125,975.20625,973.7625,972.31875
ADANIENSOL,972.95125,974.2025,975.45375,970.44875,969.1975,967.94625
ADANIENT,2222.3275,2226.755,2231.1825,2213.4725,2209.045,2204.6175
ADANIGREEN,1015.260833,1017.121667,1018.9825,1011.539167,1009.678333,1007.8175
ADANIPORTS,1507.3325,1509.065,1510.7975,1503.8675,1502.135,1500.4025
ADANIPOWER,143.14525,143.5605,143.97575,142.31475,141.8995,141.48425
ATGL,593.5408333,594.0816667,594.6225,592.4591667,591.9183333,591.3775
ABSLAMC,728.5908333,729.6816667,730.7725,726.4091667,725.3183333,724.2275
ABCAPITAL,349.6979167,349.9958333,350.29375,349.1020833,348.8041667,348.50625
ABFRL,76.49641667,76.61283333,76.72925,76.26358333,76.14716667,76.03075
ABLBL,132.4765,132.713,132.9495,132.0035,131.767,131.5305
ABREL,1782.335,1787.67,1793.005,1771.665,1766.33,1760.995
AEGISLOG,762.6745833,763.9991667,765.32375,760.0254167,758.7008333,757.37625
AEGISVOPAK,265.01875,266.1875,267.35625,262.68125,261.5125,260.34375
AFCONS,400.6575,401.015,401.3725,399.9425,399.585,399.2275
AFFLE,1648.798333,1651.896667,1654.995,1642.601667,1639.503333,1636.405
AIAENG,3853.195833,3862.591667,3871.9875,3834.404167,3825.008333,3815.6125
AJANTPHARM,2634.733333,2640.966667,2647.2,2622.266667,2616.033333,2609.8
AKUMS,420.7766667,421.2533333,421.73,419.8233333,419.3466667,418.87
AKZOINDIA,3554.7075,3567.715,3580.7225,3528.6925,3515.685,3502.6775
APLLTD,903.2808333,904.8116667,906.3425,900.2191667,898.6883333,897.1575
ALKEM,5663.995833,5668.991667,5673.9875,5654.004167,5649.008333,5644.0125
ALKYLAMINE,1661.571667,1664.743333,1667.915,1655.228333,1652.056667,1648.885
ALOKINDS,16.38016667,16.40033333,16.4205,16.33983333,16.31966667,16.2995
ARE&M,941.2395833,942.1791667,943.11875,939.3604167,938.4208333,937.48125
AMBER,6783.641667,6817.283333,6850.925,6716.358333,6682.716667,6649.075
AMBUJACEM,538.3575,539.815,541.2725,535.4425,533.985,532.5275
ANANDRATHI,2939.085833,2943.971667,2948.8575,2929.314167,2924.428333,2919.5425
ANANTRAJ,541.5875,542.825,544.0625,539.1125,537.875,536.6375
ANGELONE,2631.141667,2637.283333,2643.425,2618.858333,2612.716667,2606.575
APARINDS,8867.3,8887.1,8906.9,8827.7,8807.9,8788.1
APLAPOLLO,1775.035833,1777.171667,1779.3075,1770.764167,1768.628333,1766.4925
APOLLOHOSP,7207.370833,7213.741667,7220.1125,7194.629167,7188.258333,7181.8875
APOLLOTYRE,531.7641667,532.9283333,534.0925,529.4358333,528.2716667,527.1075
APTUS,284.8804167,285.8108333,286.74125,283.0195833,282.0891667,281.15875
ASAHIINDIA,1053.999167,1056.098333,1058.1975,1049.800833,1047.701667,1045.6025
ASHOKLEY,160.54275,160.8755,161.20825,159.87725,159.5445,159.21175
ASIANPAINT,2961.939167,2966.678333,2971.4175,2952.460833,2947.721667,2942.9825
ASTERDM,654.3408333,655.4316667,656.5225,652.1591667,651.0683333,649.9775
ASTRAL,1444.5775,1448.455,1452.3325,1436.8225,1432.945,1429.0675
ASTRAZEN,9220.691667,9238.383333,9256.075,9185.308333,9167.616667,9149.925
ATHERENERG,676.06375,679.9275,683.79125,668.33625,664.4725,660.60875
ATUL,5764.754167,5773.508333,5782.2625,5747.245833,5738.491667,5729.7375
AUBANK,949.69875,950.6475,951.59625,947.80125,946.8525,945.90375
AUROPHARMA,1224.7225,1226.345,1227.9675,1221.4775,1219.855,1218.2325
AIIL,2604.005,2607.91,2611.815,2596.195,2592.29,2588.385
DMART,3916.755833,3920.211667,3923.6675,3909.844167,3906.388333,3902.9325
AWL,249.6854167,250.1208333,250.55625,248.8145833,248.3791667,247.94375
AXISBANK,1281.228333,1282.456667,1283.685,1278.771667,1277.543333,1276.315
BAJAJ-AUTO,9094.808333,9104.616667,9114.425,9075.191667,9065.383333,9055.575
BAJFINANCE,1030.594167,1032.088333,1033.5825,1027.605833,1026.111667,1024.6175
BAJAJFINSV,2051.7575,2054.315,2056.8725,2046.6425,2044.085,2041.5275
BAJAJHLDNG,11145.40833,11172.81667,11200.225,11090.59167,11063.18333,11035.775
BAJAJHFL,96.51258333,96.71516667,96.91775,96.10741667,95.90483333,95.70225
BALKRISIND,2407.631667,2411.463333,2415.295,2399.968333,2396.136667,2392.305
BALRAMCHIN,442.5095833,443.1191667,443.72875,441.2904167,440.6808333,440.07125
BANDHANBNK,146.30975,146.4995,146.68925,145.93025,145.7405,145.55075
BANKBARODA,288.59875,288.9975,289.39625,287.80125,287.4025,287.00375
BANKINDIA,141.79775,142.0755,142.35325,141.24225,140.9645,140.68675
MAHABANK,57.06,57.17,57.28,56.84,56.73,56.62
BASF,4069.504167,4075.508333,4081.5125,4057.495833,4051.491667,4045.4875
BATAINDIA,962.4175,964.535,966.6525,958.1825,956.065,953.9475
BAYERCROP,4515.890833,4525.781667,4535.6725,4496.109167,4486.218333,4476.3275
BEML,1769.5625,1773.825,1778.0875,1761.0375,1756.775,1752.5125
BERGEPAINT,557.1125,558.075,559.0375,555.1875,554.225,553.2625
BDL,1533.1425,1538.285,1543.4275,1522.8575,1517.715,1512.5725
BEL,407.8604167,408.5708333,409.28125,406.4395833,405.7291667,405.01875
BHARATFORG,1397.013333,1399.726667,1402.44,1391.586667,1388.873333,1386.16
BPCL,356.7425,357.485,358.2275,355.2575,354.515,353.7725
BHARTIARTL,2106.953333,2110.106667,2113.26,2100.646667,2097.493333,2094.34
BHARTIHEXA,1768.933333,1772.966667,1777,1760.866667,1756.833333,1752.8
BHEL,276.2220833,276.6941667,277.16625,275.2779167,274.8058333,274.33375
BIKAJI,714.8475,717.295,719.7425,709.9525,707.505,705.0575
BIOCON,390.8754167,393.4008333,395.92625,385.8245833,383.2991667,380.77375
BSOFT,438.0220833,440.1441667,442.26625,433.7779167,431.6558333,429.53375
BLS,333.1083333,334.6666667,336.225,329.9916667,328.4333333,326.875
BLUEDART,5598.6,5605.2,5611.8,5585.4,5578.8,5572.2
BLUEJET,557.1375,559.475,561.8125,552.4625,550.125,547.7875
BLUESTARCO,1754.783333,1757.166667,1759.55,1750.016667,1747.633333,1745.25
BBTC,1860.006667,1863.013333,1866.02,1853.993333,1850.986667,1847.98
BOSCHLTD,36907.33333,36969.66667,37032,36782.66667,36720.33333,36658
FIRSTCRY,298.5104167,299.2208333,299.93125,297.0895833,296.3791667,295.66875
BRIGADE,893.42,895.29,897.16,889.68,887.81,885.94
BRITANNIA,5881.816667,5887.133333,5892.45,5871.183333,5865.866667,5860.55
BSE,2770.041667,2775.083333,2780.125,2759.958333,2754.916667,2749.875
MAPMYINDIA,1682.345,1685.59,1688.835,1675.855,1672.61,1669.365
CAMPUS,273.5529167,273.9058333,274.25875,272.8470833,272.4941667,272.14125
CANFINHOME,894.05625,895.3625,896.66875,891.44375,890.1375,888.83125
CANBK,147.6631667,147.9363333,148.2095,147.1168333,146.8436667,146.5705
CAPLIPOINT,1986.421667,1996.743333,2007.065,1965.778333,1955.456667,1945.135
CGCL,188.0339167,188.3978333,188.76175,187.3060833,186.9421667,186.57825
CARBORUNIV,881.3683333,883.0366667,884.705,878.0316667,876.3633333,874.695
CASTROLIND,191.4156667,191.5513333,191.687,191.1443333,191.0086667,190.873
CCL,979.6875,982.575,985.4625,973.9125,971.025,968.1375
CEATLTD,3899.0675,3909.435,3919.8025,3878.3325,3867.965,3857.5975
CENTRALBK,37.11591667,37.17183333,37.22775,37.00408333,36.94816667,36.89225
CDSL,1538.9125,1541.525,1544.1375,1533.6875,1531.075,1528.4625
CENTURYPLY,800.8933333,802.8366667,804.78,797.0066667,795.0633333,793.12
CERA,5413.479167,5421.958333,5430.4375,5396.520833,5388.041667,5379.5625
CESC,176.1505,176.431,176.7115,175.5895,175.309,175.0285
CGPOWER,663.0970833,663.8441667,664.59125,661.6029167,660.8558333,660.10875
CHALET,899.2183333,901.4366667,903.655,894.7816667,892.5633333,890.345
CHAMBLFERT,433.8720833,434.3441667,434.81625,432.9279167,432.4558333,431.98375
CHENNPETRO,932.9075,935.465,938.0225,927.7925,925.235,922.6775
CHOICEIN,783.89,787.08,790.27,777.51,774.32,771.13
CHOLAHLDNG,1886.523333,1890.446667,1894.37,1878.676667,1874.753333,1870.83
CHOLAFIN,1678.248333,1680.796667,1683.345,1673.151667,1670.603333,1668.055
CIPLA,1523.071667,1525.143333,1527.215,1518.928333,1516.856667,1514.785
CUB,270.65875,271.7175,272.77625,268.54125,267.4825,266.42375
CLEAN,891.6170833,892.5841667,893.55125,889.6829167,888.7158333,887.74875
COALINDIA,379.5954167,380.1408333,380.68625,378.5045833,377.9591667,377.41375
COCHINSHIP,1643.516667,1646.633333,1649.75,1637.283333,1634.166667,1631.05
COFORGE,1972.451667,1978.703333,1984.955,1959.948333,1953.696667,1947.445
COHANCE,549.9983333,550.8966667,551.795,548.2016667,547.3033333,546.405
COLPAL,2142.188333,2146.276667,2150.365,2134.011667,2129.923333,2125.835
CAMS,3966.728333,3976.756667,3986.785,3946.671667,3936.643333,3926.615
CONCORDBIO,1404.551667,1407.503333,1410.455,1398.648333,1395.696667,1392.745
CONCOR,513.4929167,514.2858333,515.07875,511.9070833,511.1141667,510.32125
COROMANDEL,2306.066667,2308.633333,2311.2,2300.933333,2298.366667,2295.8
CRAFTSMAN,7049.041667,7059.583333,7070.125,7027.958333,7017.416667,7006.875
CREDITACC,1350.648333,1354.296667,1357.945,1343.351667,1339.703333,1336.055
CRISIL,4435.579167,4445.158333,4454.7375,4416.420833,4406.841667,4397.2625
CROMPTON,259.5141667,260.1283333,260.7425,258.2858333,257.6716667,257.0575
CUMMINSIND,4470.529167,4481.758333,4492.9875,4448.070833,4436.841667,4425.6125
CYIENT,1179.2625,1181.325,1183.3875,1175.1375,1173.075,1171.0125
DABUR,508.8058333,509.5116667,510.2175,507.3941667,506.6883333,505.9825
DALBHARAT,1993.114167,1995.928333,1998.7425,1987.485833,1984.671667,1981.8575
DATAPATTNS,2905.15,2913.4,2921.65,2888.65,2880.4,2872.15
DCMSHRIRAM,1229.071667,1231.143333,1233.215,1224.928333,1222.856667,1220.785
DEEPAKFERT,1323.605833,1326.511667,1329.4175,1317.794167,1314.888333,1311.9825
DEEPAKNTR,1536.916667,1540.033333,1543.15,1530.683333,1527.566667,1524.45
DELHIVERY,402.1820833,402.7641667,403.34625,401.0179167,400.4358333,399.85375
DEVYANI,139.5543333,140.1886667,140.823,138.2856667,137.6513333,137.017
DIVISLAB,6476.2875,6483.575,6490.8625,6461.7125,6454.425,6447.1375
DIXON,13746.41667,13785.83333,13825.25,13667.58333,13628.16667,13588.75
DLF,710.1475,710.945,711.7425,708.5525,707.755,706.9575
DOMS,2637.293333,2643.086667,2648.88,2625.706667,2619.913333,2614.12
AGARWALEYE,504.5233333,505.6966667,506.87,502.1766667,501.0033333,499.83
LALPATHLAB,3062.056667,3070.013333,3077.97,3046.143333,3038.186667,3030.23
DRREDDY,1279.2225,1280.845,1282.4675,1275.9775,1274.355,1272.7325
ECLERX,4905.345,4914.09,4922.835,4887.855,4879.11,4870.365
EICHERMOT,7109.258333,7118.516667,7127.775,7090.741667,7081.483333,7072.225
EIDPARRY,1035.4725,1036.545,1037.6175,1033.3275,1032.255,1031.1825
EIHOTEL,378.3895833,378.7791667,379.16875,377.6104167,377.2208333,376.83125
ELECON,480.7604167,482.0208333,483.28125,478.2395833,476.9791667,475.71875
ELGIEQUIP,493.1595833,494.8691667,496.57875,489.7404167,488.0308333,486.32125
EMAMILTD,516.9395833,517.3291667,517.71875,516.1604167,515.7708333,515.38125
EMCURE,1408.156667,1412.813333,1417.47,1398.843333,1394.186667,1389.53
ENDURANCE,2655.908333,2660.216667,2664.525,2647.291667,2642.983333,2638.675
ENGINERSIN,202.17,202.72,203.27,201.07,200.52,199.97
ERIS,1562.118333,1564.336667,1566.555,1557.681667,1555.463333,1553.245
ESCORTS,3740.995833,3748.191667,3755.3875,3726.604167,3719.408333,3712.2125
ETERNAL,296.3183333,296.8866667,297.455,295.1816667,294.6133333,294.045
EXIDEIND,381.27125,382.1925,383.11375,379.42875,378.5075,377.58625
FACT,839.6383333,840.9766667,842.315,836.9616667,835.6233333,834.285
FEDERALBNK,259.0304167,259.4108333,259.79125,258.2695833,257.8891667,257.50875
FINCABLES,741.6629167,742.6758333,743.68875,739.6370833,738.6241667,737.61125
FINPIPE,170.84575,171.2115,171.57725,170.11425,169.7485,169.38275
FSL,351.1141667,351.7283333,352.3425,349.8858333,349.2716667,348.6575
FIVESTAR,592.6541667,595.3583333,598.0625,587.2458333,584.5416667,581.8375
FORCEMOT,17613.925,17659.85,17705.775,17522.075,17476.15,17430.225
FORTIS,890.0304167,891.5108333,892.99125,887.0695833,885.5891667,884.10875
NYKAA,255.8758333,256.2516667,256.6275,255.1241667,254.7483333,254.3725
GAIL,170.8243333,171.0186667,171.213,170.4356667,170.2413333,170.047
GRSE,2555.591667,2560.083333,2564.575,2546.608333,2542.116667,2537.625
GVT&D,2816.274167,2827.448333,2838.6225,2793.925833,2782.751667,2771.5775
GICRE,384.9316667,385.4633333,385.995,383.8683333,383.3366667,382.805
GILLETTE,8562.591667,8590.183333,8617.775,8507.408333,8479.816667,8452.225
GLAND,1739.9875,1745.075,1750.1625,1729.8125,1724.725,1719.6375
GLAXO,2514.8425,2518.885,2522.9275,2506.7575,2502.715,2498.6725
GLENMARK,1976.073333,1978.346667,1980.62,1971.526667,1969.253333,1966.98
MEDANTA,1203.5775,1206.355,1209.1325,1198.0225,1195.245,1192.4675
GMRAIRPORT,103.335,103.61,103.885,102.785,102.51,102.235
GODIGIT,346.5708333,346.8916667,347.2125,345.9291667,345.6083333,345.2875
GPIL,236.80475,237.7095,238.61425,234.99525,234.0905,233.18575
GODFRYPHLP,2786.273333,2791.846667,2797.42,2775.126667,2769.553333,2763.98
GODREJAGRO,588.1666667,589.0833333,590,586.3333333,585.4166667,584.5
GODREJCP,1134.708333,1136.816667,1138.925,1130.491667,1128.383333,1126.275
GODREJIND,1005.016667,1009.233333,1013.45,996.5833333,992.3666667,988.15
GODREJPROP,2083.908333,2088.216667,2092.525,2075.291667,2070.983333,2066.675
GRANULES,567.3075,568.215,569.1225,565.4925,564.585,563.6775
GRAPHITE,545.1270833,546.2041667,547.28125,542.9729167,541.8958333,540.81875
GRASIM,2733.379167,2736.358333,2739.3375,2727.420833,2724.441667,2721.4625
GRAVITA,1803.783333,1807.266667,1810.75,1796.816667,1793.333333,1789.85
FLUOROCHEM,3352.780833,3357.061667,3361.3425,3344.219167,3339.938333,3335.6575
GUJGASLTD,410.18,411.06,411.94,408.42,407.54,406.66
GMDCLTD,531.5570833,533.5141667,535.47125,527.6429167,525.6858333,523.72875
GSPL,296.1879167,296.9258333,297.66375,294.7120833,293.9741667,293.23625
HAPPSTMNDS,513.305,515.56,517.815,508.795,506.54,504.285
HAVELLS,1435.296667,1437.093333,1438.89,1431.703333,1429.906667,1428.11
HBLENGINE,813.7429167,817.2858333,820.82875,806.6570833,803.1141667,799.57125
HCLTECH,1657.065833,1659.531667,1661.9975,1652.134167,1649.668333,1647.2025
HDFCAMC,2598.346667,2600.693333,2603.04,2593.653333,2591.306667,2588.96
HDFCBANK,998.2725,999.345,1000.4175,996.1275,995.055,993.9825
HDFCLIFE,762.7066667,764.6133333,766.52,758.8933333,756.9866667,755.08
HEG,524.3420833,525.5841667,526.82625,521.8579167,520.6158333,519.37375
HEROMOTOCO,6350.220833,6360.441667,6370.6625,6329.779167,6319.558333,6309.3375
HEXT,793.84375,799.1375,804.43125,783.25625,777.9625,772.66875
HFCL,70.7945,71.119,71.4435,70.1455,69.821,69.4965
HSCL,464.5729167,466.7958333,469.01875,460.1270833,457.9041667,455.68125
HINDALCO,812.38125,813.9625,815.54375,809.21875,807.6375,806.05625
HAL,4506.214167,4515.628333,4525.0425,4487.385833,4477.971667,4468.5575
HINDCOPPER,368.1333333,370.5166667,372.9,363.3666667,360.9833333,358.6
HINDPETRO,448.7520833,449.5541667,450.35625,447.1479167,446.3458333,445.54375
HINDUNILVR,2467.681667,2473.163333,2478.645,2456.718333,2451.236667,2445.755
HINDZINC,498.125,499.5,500.875,495.375,494,492.625
POWERINDIA,20250.45833,20415.91667,20581.375,19919.54167,19754.08333,19588.625
HOMEFIRST,1086.898333,1088.896667,1090.895,1082.901667,1080.903333,1078.905
HONASA,278.5854167,279.0208333,279.45625,277.7145833,277.2791667,276.84375
HONAUT,34916.91667,34983.83333,35050.75,34783.08333,34716.16667,34649.25
HUDCO,222.8708333,223.4116667,223.9525,221.7891667,221.2483333,220.7075
HYUNDAI,2376.549167,2380.298333,2384.0475,2369.050833,2365.301667,2361.5525
ICICIBANK,1387.7725,1388.845,1389.9175,1385.6275,1384.555,1383.4825
ICICIGI,1986.025,1989.05,1992.075,1979.975,1976.95,1973.925
ICICIPRULI,616.3216667,617.2933333,618.265,614.3783333,613.4066667,612.435
IDBI,97.79675,97.9535,98.11025,97.48325,97.3265,97.16975
IDFCFIRSTB,79.98816667,80.09633333,80.2045,79.77183333,79.66366667,79.5555
IFCI,49.80791667,49.88583333,49.96375,49.65208333,49.57416667,49.49625
IIFL,567.6745833,568.9991667,570.32375,565.0254167,563.7008333,562.37625
INDGN,536.1866667,537.3233333,538.46,533.9133333,532.7766667,531.64
INDIAMART,2295.9025,2299.505,2303.1075,2288.6975,2285.095,2281.4925
INDIANB,804.2958333,805.9916667,807.6875,800.9041667,799.2083333,797.5125
IEX,148.3535,148.777,149.2005,147.5065,147.083,146.6595
IOC,163.0065833,163.2531667,163.49975,162.5134167,162.2668333,162.02025
IOB,37.834,37.878,37.922,37.746,37.702,37.658
IRCTC,674.785,675.72,676.655,672.915,671.98,671.045
IRFC,114.9875,115.125,115.2625,114.7125,114.575,114.4375
IREDA,136.9791667,137.2083333,137.4375,136.5208333,136.2916667,136.0625
IGL,194.02625,194.3425,194.65875,193.39375,193.0775,192.76125
INDUSTOWER,402.8891667,403.7783333,404.6675,401.1108333,400.2216667,399.3325
INDUSINDBK,865.7591667,868.5183333,871.2775,860.2408333,857.4816667,854.7225
NAUKRI,1398.9225,1401.645,1404.3675,1393.4775,1390.755,1388.0325
INFY,1600.441667,1603.283333,1606.125,1594.758333,1591.916667,1589.075
INOXINDIA,1155.7025,1157.105,1158.5075,1152.8975,1151.495,1150.0925
INOXWIND,130.0233333,130.2066667,130.39,129.6566667,129.4733333,129.29
INTELLECT,1092.7525,1095.805,1098.8575,1086.6475,1083.595,1080.5425
INDIGO,5452.633333,5468.766667,5484.9,5420.366667,5404.233333,5388.1
IGIL,325.1908333,325.7316667,326.2725,324.1091667,323.5683333,323.0275
IKS,1670.065,1673.53,1676.995,1663.135,1659.67,1656.205
